OBJECT A,OBJECT B,ASPECT,ASPECT BELONGS TO,MOST FREQUENT RATING,ROLE,CONFIDENCE,AMOUNT OF GOOD RATINGS,AMOUNT OF BAD RATINGS,SENTENCE EXAMPLE 1,SENTENCE EXAMPLE 2,SENTENCE EXAMPLE 3,SENTENCE EXAMPLE 4,SENTENCE EXAMPLE 5
ford,nissan,lighter,nissan,GOOD,PREDICATE-FULL,1.0,0,1,"this is lighter than the nissan murano, but less than the toyota rav4 or a large crossover as traverse chevy or ford flex.","competition for the 2012 chevrolet camaro ss is primarily focused on the ford mustang gt and dodge challenger srt8, but smaller, lighter sports cars like the nissan 370z and hyundai genesis coupe could also be included in the mix.",,,
ford,nissan,higher,nissan,GOOD,PREDICATE-DEPENDENT,1.0,0,1,"drivetrain due to its much higher torque, the engine of the nissan altima does a much better job of transmitting power to the wheels than the ford focus.","drivetrain due to its much higher torque, the engine of the nissan maxima does a much better job of transmitting power to the wheels than the ford fusion hybrid.","drivetrain due to its much higher torque, the engine of the nissan 370z does a much better job of transmitting power to the wheels than the ford c-max hybrid.","drivetrain due to its much higher torque, the engine of the nissan leaf does a much better job of transmitting power to the wheels than the ford c-max hybrid.","ford and gm's hourly labor costs are still higher than those at toyota, honda and nissan."
ford,nissan,head,nissan,BAD,,1.0,0,1,the nissan altima will be a favorite with taller drivers due to its greater front head- and legroom than the ford focus.,the nissan sentra will be a favorite with taller drivers due to its greater front head- and legroom than the ford focus.,the nissan leaf will be a favorite with taller drivers due to its greater front head- and legroom than the ford focus st. .,the nissan versa note will be a favorite with taller drivers due to its greater front head- and legroom than the ford focus.,"further, nissan failed to consider that superior operated in the shadow of ford motor company world headquarters."
ford,nissan,legroom,nissan,GOOD,ASPECT,1.0,0,1,the nissan altima will be a favorite with taller drivers due to its greater front head- and legroom than the ford focus.,the nissan sentra will be a favorite with taller drivers due to its greater front head- and legroom than the ford focus.,the nissan leaf will be a favorite with taller drivers due to its greater front head- and legroom than the ford focus st. .,the nissan versa note will be a favorite with taller drivers due to its greater front head- and legroom than the ford focus.,"the nissan pathfinder will be a hit with tall drivers and their front seat passengers, since it has greater front head- and legroom than the ford flex."
ford,nissan,easier to drive a ford,nissan,BAD,,1.0,0,1,,,,,
ford,nissan,faster to sign partnerships,nissan,GOOD,PREDICATE-FULL,1.0,0,1,,,,,
intel,kingston,bigger,intel,GOOD,PREDICATE-FULL,1.0,0,1,,,,,
intel,kingston,longer,intel,GOOD,PREDICATE-DEPENDENT,1.0,0,1,,,,,
intel,kingston,longer for firmware revisions,intel,BAD,,1.0,0,1,,,,,
intel,kingston,faster,kingston,GOOD,PREDICATE-FULL,1.0,0,1,"again the kingston v+ 100 does very well, opening photoshop faster than the crucial m4 and much faster than the intel x25-m.",it's because the kingston ram is faster than stock and the integrated intel gpu uses the system ram.,"the kingston ssdnow v is faster in this test than the small intel x25-v, but the raid and high-end ssds again show a clear lead.",the kingston v+ series is suppose to be faster because it supports sata iii while the 160gb intel x25-m is sata ii.,"the intel drive won this one handily coming in 10 to 11 seconds faster than the kingston drive, which is surprisingly only less than 2 seconds faster than an unaccelerated hdd."
intel,kingston,ram,kingston,GOOD,ASPECT,1.0,0,1,it's because the kingston ram is faster than stock and the integrated intel gpu uses the system ram.,,,,
intel,kingston,higher,kingston,GOOD,PREDICATE-DEPENDENT,1.0,0,1,"and kingston has imho a much higher reputation on circuitry reliance and better qa in general then the rest of the pack, except intel.","kingston drives are priced slightly higher than intel's for unknown reasons, but it should be safe to assume that it is since they have to relabel, package and market the drives after purchasing the drives from intel.",corporate grade drives from intel have a lot higher total writes and i think ocz vertex 4 drives are still the kings with over 9000 estimated writes (kingston hyper x 3k's for example are around 3ooo) and it has really intelligent firmware.,,
intel,kingston,newer,kingston,GOOD,PREDICATE-DEPENDENT,1.0,0,1,"indeed, the kingston ssdnow v series 40gb ssd actually does use the newer second generation intel controller.",,,,
intel,kingston,stock,kingston,BAD,,1.0,0,1,it's because the kingston ram is faster than stock and the integrated intel gpu uses the system ram.,,,,
intel,kingston,older,kingston,GOOD,PREDICATE-DEPENDENT,1.0,0,1,in the atto 512k 8mb test the kingston 2nd generation drive got us about 56mb/s more than it's older brother the intel x25-m which is a pretty good generational performance increase.,ok i installed server2012 onto my older kingston ssd which is 64gb and i really notice the difference speed compared to when i installed win7 on the same drive and since the difference is huge i have decided to switch out the 64gb for my rmaed intel 510 120gb ssd but i really don't want to go through the hassle of reinstalling every single thing and then turning it into a workstation i am just not sure what i need to do this and not lose anything.,,,
intel,kingston,gpu,kingston,GOOD,ASPECT,1.0,0,1,it's because the kingston ram is faster than stock and the integrated intel gpu uses the system ram.,,,,
intel,kingston,system,kingston,BAD,,1.0,0,1,it's because the kingston ram is faster than stock and the integrated intel gpu uses the system ram.,,,,
intel,kingston,quicker,kingston,GOOD,PREDICATE-FULL,1.0,0,1,,,,,
bread,pizza,safer,bread,GOOD,PREDICATE-FULL,1.0,1,0,"so, moldy bread is safer than moldy pizza.","for example: ham, cheese, pineapple, and bread kept separate are  safer  than hawaiian pizza.","for example: ham, cheese, pineapple, and bread kept separate are ""safer"" than hawaiian pizza.",,
bread,pizza,symptoms,bread,BAD,,1.0,0,1,i know you had gluten free version of the pizza but i think pizza dough must be higher i gluten because i always had worse symptoms than with regular bread.,,,,
bread,pizza,nicer,bread,GOOD,PREDICATE-DEPENDENT,1.0,1,0,"if you haven't yet i urge you to try the gourmet garlic bread, which i thought was nicer than the pizza!","great time of year for pizza's but, then what time of year isn't...i can't think of anything nicer than a quick pizza fix and fresh baked bread, for a relaxing holiday!","my tastebuds have long been spoiled by freshly prepared bread, and while the chicago town range doesn't have the depth of flavour of fresh bread, it's nicer than the overly sweet, overly biscuity taste many other brands pass off as pizza dough.",,
bread,pizza,production,bread,GOOD,ASPECT,1.0,0,1,"after playing around on several occasions with a bread machine, i concluded that a bread machine does a better job at making bread dough than pizza dough because of the programmed heat/knead cycle, which is more attuned to bread dough production.","also, the balance between gas production and gas retention is arguably more important to bread production than pizza dough production because you want a dough with good volume and forming and shaping characteristics so that the finished bread is of good shape and volume.","yes, it does still reduce the dough mixing time but in pizza production the doughs are significantly undermixed so reduction of mixing time is not as important as it is in bread production.","to my way of thinking, ash content is more important in flour that will be used for white bread production than in pizza production (taking into account only the impact on crumb color).","the jump to pizza came with the food's increase in popularity as more southern italians entered the usa, but the ovens remained outfitted for bread production."
bread,pizza,pudding,bread,BAD,,1.0,0,1,"maybe too proud, since i later allowed myself some banana bread pudding, but that's still a lot better than a slice or two of pizza and beer .",cindy snowden's clever idea for italian bread pudding was to start with a french bread pizza from the freezer case to save time.,,,
bread,pizza,bit,bread,BAD,,1.0,0,1,"being a master of neither, bread is a bit easier for me to make than pizza.","he really liked in on bread better than carrots or whatever, probably because it mimicked pizza a bit more.",pizza needs a bit less than loaf bread.,i like bread just a little bit more than pizza.,the bread on the table tastes a bit like left over pizza crusts-but they are good pizza crusts!!
bread,pizza,quicker,bread,GOOD,PREDICATE-DEPENDENT,1.0,0,1,i make my own dough when it was so easy in the bread machine...even quicker than using publix bakery pizza dough.,so i went with my go-to pizza dough recipe instead of italian bread because it's a quicker recipe.,"i've read the bread builders, and then got onto this site and am leaning more toward the quicker-heating dome-shaped pizza style oven.",,
bread,pizza,easier for me to make,bread,GOOD,PREDICATE-FULL,1.0,1,0,"being a master of neither, bread is a bit easier for me to make than pizza.",,,,
bread,pizza,easier to find and more expensive,bread,GOOD,PREDICATE-FULL,1.0,0,1,,,,,
bread,pizza,cycle,bread,BAD,,1.0,0,1,i usually use my bread machine and recently found out that the  dough  cycle makes better pizza dough than the  pizza dough  cycle.,"after playing around on several occasions with a bread machine, i concluded that a bread machine does a better job at making bread dough than pizza dough because of the programmed heat/knead cycle, which is more attuned to bread dough production.","add ingredients to bread machine in the order listed above and put bread machine on ""pizza dough"" cycle.","batch cooking, cooking, bread making...so while i had the bread machine out, i decided to go ahead and run another dough cycle for pizza dough.","fourth, the knead cycle of bread machines can be quite long, more than what one would normally use for making a pizza dough."
bread,pizza,faster,pizza,GOOD,PREDICATE-DEPENDENT,1.0,0,1,notice that a pizza cooks much faster than a loaf of bread.,a flat pizza pie cooks faster than an oblong loaf of bread.,fleishmann makes a special pizza dough yeast that is faster than regular bread yeast.,"i'd like to host the occasional pizza party or have supper ready for my wife when she gets home from teaching, which requires a faster and hotter firing than a really heavy bread oven.",from what i have understood the soapstone will heat up faster but will tend to overheat(if that makes sense)...read that it is better for pizza than for bread ovens best dutch .
bread,pizza,lighter,pizza,GOOD,PREDICATE-FULL,1.0,0,1,"experimenting with my own pizza over the last few years i always wondered how they got the lighter than air bread, or pizza slices.","sparse notes here while waiting on a pizza and being distracted by soccer on the tv... lighter brown poor than most browns, medium frothy white, muted brown sugar, bread aroma, buttery, cocoa, nuts and grain, 6.6 .",i didn't think i could eat a whole pizza by myself but i had no problems finishing off my plate (it's also because flat bread is a bit lighter than the regular pizza dough).,"i asked our server who said the pizza was delicious and the potatoes were not at all overpowering, it was just a thin layer, lighter than tomato sauce, over top of the bread.","as a result, pizza press' pies aren't as crisp on the bottom as pieology's; blaze's pie, while possessing crispness, has a lighter yet less satisfying texture on a crust with a presence closer to pita bread."
bread,pizza,easier to make,pizza,GOOD,PREDICATE-FULL,1.0,1,0,pizza dough is much easier to make than bread.,amazing pizza dough is easier to make than you might think: use approximately 4 parts high-gluten (bread) flour to one-part semolina flour (optional).,,,
bread,pizza,easier,pizza,GOOD,PREDICATE-DEPENDENT,1.0,1,0,pizza dough is much easier to make than bread.,"but pizza dough is a lot easier and much more forgiving than bread making, i think.","the shorter time for pizza is easier than bread, but you still want to know your temp.",btw i made great lasagne with it last week and the pizza dough seems easier to work with than the bread flour.,"the pizza hut cheese sticks recipe is fairly complex, but easier than many other bread recipes as you only have to knead once."
bread,pizza,bigger,pizza,GOOD,PREDICATE-DEPENDENT,1.0,0,1,baking bread is an even bigger draw for me than making pizza.,"the bread was bigger than i remembered so i tripled the recipe, used two loaves of bread, and cut it pizza style.","steam use in bread baking is common, and i was hoping that applying steam to the rim of pizza would result in expansion bigger than a garden hose.",i can understand different ingredients seem to do different thing at different baking temperatures and i also can understand small amounts can make bigger differences in pizza dough than bread.,"i think that was almost  a bigger hit than the cookies- being able to enjoy pizza with the family is bound to make any 5 year old happy (i can't think of many 5 year olds who don't love pizza) and that was huge for her, especially since she's old enough to remember what ""regular"" pizza crust, bread, bagels, etc taste like."
bread,pizza,better for you,pizza,GOOD,PREDICATE-FULL,1.0,1,0,and pizza is better for you than plain bread because it has higher levels of saturated fat and protein.,one splurge pizza dinner once a month is going to be a whole hell of a lot better for your health than your oxidized daily almond meal bread!,using that logic: pizza is better for you than bread since the cheese and tomato sauce (an acid) both slow down digestion and prevent a very high glycemic spike.,"takes less than 2 minutes to chuck the ingredients in, the bread is much better for you than bought bread, and the pizza dough is great.",
bread,pizza,chewy,pizza,GOOD,PREDICATE-FULL,1.0,0,1,"grilled pizza with roasted peppers, tomatoes and manchego cheese begins with a superior crust that includes hodgson mill best for bread flour to make it chewy and hodgson mill white whole wheat flour to give it body, more flavor and some healthy whole grains.","grilled pizza with roasted peppers, tomatoes and manchego cheese grilled pizza with roasted peppers, tomatoes and manchego cheese begins with a superior crust that includes hodgson mill best for bread flour to make it chewy and hodgson mill whit... view recipe .","pizza! oh, that ooey gooey slightly charred mozzarella over sweet sauce and lovely chewy bread.",of course the pizza was great and i used the uncooked pizza sauce over a crispy yet chewy bread.,"it was soft, dense, chewy, and a little spongy like bread... fresh-baked bread but it wasn't very pizza-ish."
bread,pizza,easier to eat,pizza,GOOD,PREDICATE-FULL,1.0,0,1,,,,,
bread,pizza,simpler,pizza,GOOD,PREDICATE-DEPENDENT,1.0,0,1,"not-kneading pizza is even simpler than not-kneading bread, if you can believe that.",,,,
bread,pizza,faster to prepare,pizza,GOOD,PREDICATE-FULL,1.0,0,1,,,,,
plastic,wood,easier to clean,plastic,GOOD,PREDICATE-FULL,1.0,1,0,"plastic boards, like the oxo good grips carving & cutting board , may seem to be safer than wood or bamboo - they're easier to clean, they can go in the dishwasher, and they're lighter and easier to maneuver around the kitchen.",nonporous surfaces like plastic or glass are easier to clean than wood and thus better in terms of food safety.,plastic accessories are easier to clean and disinfect than are wood accessories.,the plastic handle is easier to clean and sanitize than a wood handle.,the plastic tray is less likely to leak and easier to clean than wood.
plastic,wood,easier to keep clean,plastic,GOOD,PREDICATE-FULL,1.0,1,0,"i use plastic clothespins, easier to keep clean than wood.",plastic and metal feeders are easier to keep clean than wood.,"i'm not usually a fan of plastic, but it sure is easier to keep clean than wood.","my grandfather built a wooden potty chair for our daughter that has a removable plastic insert for the actual waste (much easier to keep clean than if it were all wood, of course).","the nina ottosson range of dog toys have been out for some years now, and in recent times have been remodelled in this more durable plastic, which is much easier to keep clean than the previous mdf/wood incarnations."
plastic,wood,stronger,plastic,GOOD,PREDICATE-FULL,1.0,1,0,"the video explains that igps plastic pallets are lighter, stronger, safer and greener than wood.","its 100 percent recyclable all-plastic pallet with embedded rfid tags is lighter, stronger, safer and greener than platforms made of wood and has been adopted by many of the world's leading brands.","(a) the plastic produced by the process is considerably lighter, stronger, and more watertight than wood.","( a) the plastic produced by the process is considerably lighter, stronger, and more watertight than wood.","we use high-density polyethylene (hdpe) plastic to make our plastic folding tables stronger, lighter, and more durable than metal tables or wood tables."
plastic,wood,bacteria,plastic,BAD,,1.0,0,1,"their conclusion was that in some unknown way, wooden cutting boards are safer than plastic because bacteria dies much faster on wood.",the assumption was that plastic would be superior to wood because it is easier to thoroughly clean a plastic one and so they would not harbor bacteria.,it's become an article of faith among  experts  that plastic cutting boards are safer than wood for food preparation because plastic is less hospitable to bacteria.,"some people worry about germs and bacteria, but wood has been proven to be as safe, if not safer, than plastic.","secondly, wood and tree bark are much harder to clean than plastic, ceramic or stone, which means wood is also more likely to harbor bacteria."
plastic,wood,easier to clean and sanitize,plastic,GOOD,PREDICATE-FULL,1.0,1,0,the plastic handle is easier to clean and sanitize than a wood handle.,"plastic, tempered glass or other non-porous boards are easier to clean and sanitize than wood because you can put them into the dishwasher for better cleaning and sanitizing.","wash your hands before handling raw salmon (or any kind of raw seafood) and use a nonporous cutting board (plastic, rubber, acrylic) which is easier to clean and sanitize than one made from wood.",,
plastic,wood,metal,plastic,BAD,,1.0,0,1,metal and plastic are safer than wood which is safer than upholstered items.,acrylic or some form of plastic will work better because the adhesive will bond better vs. wood and is much lighter than metal.,"happily, plastic moulds last much longer than metal and plastic is lighter to ship than metal or wood.",plastic and metal feeders are easier to keep clean than wood.,"wood and glass and metal are not only safer than plastic, they give you a much better return on investment as they last and last and last."
plastic,wood,greener,plastic,GOOD,PREDICATE-FULL,1.0,1,0,"the video explains that igps plastic pallets are lighter, stronger, safer and greener than wood.","its 100 percent recyclable all-plastic pallet with embedded rfid tags is lighter, stronger, safer and greener than platforms made of wood and has been adopted by many of the world's leading brands.","when he tried to find out whether plastic was better than wood, whether wood was greener than plastic, which could work better in racks and which was the worst fire hazard, the consistent answer was: it depends.","safe, non-toxic wooden toys - made from sustainably harvested or salvaged/recycled wood that only comes from renewable sources (i.e., no rainforest wood) - are very durable and greener than using plastic.",
plastic,wood,aluminum,plastic,BAD,,1.0,0,1,"these days, thanks to aluminum frames and plastic decking, snowshoes are much lighter and less cumbersome than the wood-and-leather rackets worn in centuries past.","in the 1960s, sailboat designers started to experiment with composite materials such as fiber-reinforced plastic (commonly known as frp or fiberglass) as a material for building hulls because fiberglass offered a much lighter alternative to traditional materials such as wood and aluminum.",",) i'm thinking plastic would be a good fit for me as i want something faster than the wood/ bamboo i've been using but hate the click etc. of aluminum / metal needles.",i'm thinking plastic would be a good fit for me as i want something faster than the wood/ bamboo i've been using but hate the click etc. of aluminum / metal needles.,"tactility is definitely an important aspect of design that designs of glass and steel these days had forgotten, probably due to the fact that plastic and aluminum parts are easier to mold and mass-produce than wood."
plastic,wood,higher,plastic,GOOD,PREDICATE-DEPENDENT,1.0,0,1,"by working with abs plastic, hansmeyer could achieve a higher cutting resolution, which gave hima smoother and less jagged surface, resulting in a effect more like carved ice than carved wood.","by working with abs plastic, hansmeyer could achieve a higher cutting resolution, which gave hima smoother and less jagged surface, resulting in a effect more like carved ice [2] than carved wood.","none of the props were made from plastic, but we make them that way as it gives a better finish than wood or foam which makes for a much higher quality replica.",metal or wood frames are higher quality than plastic.,the wood should be even or higher than the plastic.
plastic,wood,easier to maintain,plastic,GOOD,PREDICATE-FULL,1.0,1,0,"this beautiful teak board requires more careful cleaning than plastic boards, but it feels better under a knife and it's easier to maintain than other wood boards.","the handle is a hard plastic which i prefer for a brush that gets washed everyday, easier to maintain than wood.","though more costly than traditional plastic materials, fiberglass-reinforced plastic is stronger than wood and easier to maintain.","the simulated wood-panel siding brings back the days of the woodie, but it's far easier to maintain in plastic than it was in wood.",
plastic,wood,quicker,wood,GOOD,PREDICATE-DEPENDENT,1.0,0,1,"wood obviously will absorb the smell a lot quicker than plastic, too.","plastic and bamboo are not the best, as they can dull your razor sharp edge quicker than wood.",the food research institute of wisconsin-madison concluded that wood cutting boards are more hygenic and that bacteria die quicker on wood than plastic.,"wood might become slippery when wet, and sea water will warp and erode the planks quicker than a plastic dock, strayer said.",the bees seem to start building on wood frames a bit quicker than plastic... once drawn out mix and match is ok...i would not try new plastic and new wood foundationless together at the same time.
plastic,wood,nicer,wood,GOOD,PREDICATE-FULL,1.0,1,0,real wood is so much nicer than plastic.,adorable wood coffee maker much nicer than plastic toy appliances.,the wood is so much nicer than the plastic cases they sell nowadays.,"then there's the aesthetic factor, wood just looks and feels nicer than plastic.",the wood really makes it look a lot nicer than the plastic made to look like wood.
plastic,wood,bigger,wood,GOOD,PREDICATE-DEPENDENT,1.0,0,1,"as a result, plastic can cause a bigger fire than wood.","the spec v plastic base is a little bigger than the tank and wood is measured in ""before finishing"" dimensions.","grandview police ""shot"" the suspects using airsoft guns and plastic pellets that are a little bigger than bbs, wood said.",a hole saw for wood will cut through it but it will make a much bigger mess than one meant for metal or plastic.,"the plastic of course isn't as durable as the wood, but he loves that they are so much bigger and still fit on the same track system."
plastic,wood,easier to work with,wood,GOOD,PREDICATE-FULL,1.0,1,0,"lots of people build robots from wood, and its a lot easier to work with than any plastic...","wood is easier to work with than either plastic or sheet metal, and can be made adequately waterproof with suitable paint and stain (your house being evidence thereof).",plastic is easier to work with than wood because the dough does not readily stick to the surface.,,
plastic,wood,cooler,wood,GOOD,PREDICATE-DEPENDENT,1.0,1,0,"this wood container looks much better than a standard plastic cooler, and it matches its surrounding decor .",many different compostable bamboo and wood cocktail picks available look much cooler than plastic picks.,we are a collective group of hardworking craftsmen and women who believe wood is cooler than plastic and overseas labor is so last year.,"the good: beautiful craftsmanship, sleek design, wood is chic and so much cooler than plastic, not made overseas like so many other cases are, works with all front and back screen protectors .","terracotta and wood containers dry out more quickly than plastic, but stay cooler."
plastic,wood,faster,wood,GOOD,PREDICATE-DEPENDENT,1.0,0,1,"if the deck board is wood or has wood (organic matter) in it, it will attract mold faster/easier than an all-plastic board.","as i mentioned before, plastic is harder than wood, meaning it will dull a knife faster.","wood degrades faster than plastic, we know.",wood fillers also increase profile extrusion rates because wood cools faster than plastic.,vintage wood clothes pins are faster than the new plastic ones.
plastic,wood,smoother,wood,GOOD,PREDICATE-DEPENDENT,1.0,0,1,the wood grabs the yarn better than the plastic ones when i start to wind on and generally seem to wind smoother.,its slips through my hair noticibly smoother than the wood one and my hair is growing faster again back to the speeds it was when i was using my old plastic comb.,"by working with abs plastic, hansmeyer could achieve a higher cutting resolution, which gave hima smoother and less jagged surface, resulting in a effect more like carved ice than carved wood.","by working with abs plastic, hansmeyer could achieve a higher cutting resolution, which gave hima smoother and less jagged surface, resulting in a effect more like carved ice [2] than carved wood.","in the case of wooden headphones, i would imagine wood is more flexible than the usual plastic or even aluminium of higher-end models, giving them a warmer/smoother (but less accurate) sound."
plastic,wood,quieter,wood,GOOD,PREDICATE-FULL,1.0,1,0,"wood is quieter, and it lends itself to modification much better than plastic.","since plastic is a worse amplifier, it will resonate fewer frequencies and it will be quieter than wood.",wood shoes tend to be quieter than aluminum or plastic shoes.,"those stocks are still fairly ugly, so far as grain goes, and they almost as much synthetic (glue) as wood, but they are warmer and quieter than plastic, without being subject to the warping, softening, or as much chipping as wood.","i bought the larger wood shaker thinking it would have a cool sound, but what i found was that i spent 8x more for pretty much a quieter version of the small plastic one."
plastic,wood,walls,wood,BAD,,1.0,0,1,"chef- i've heard so many times that wood cutting boards are actually safer than plastic, because the wood absorbs moisture, which dries out bacteria and ruptures their cell walls, killing them more effectively than any cleaning of plastic boards would.","clay and wood containers will dry faster than plastic, metal and ceramic because air can enter the walls of these pots.",,,
plastic,wood,better for sound quality,wood,GOOD,PREDICATE-FULL,1.0,1,0,all of the speakers are enclosed in wood which is better for sound quality than plastic enclosure.,pros +wooden enclosure makes them sturdy +wood is far better for sound quality than plastic +long cables +reach loud volumes despite low wattage +cost is low .,pros +wooden enclosure makes them sturdy +wood is far better for sound quality than plastic +long cables +reach loud volumes despite low wattage +cost is low,,
gamecube,wii,weaker,gamecube,GOOD,PREDICATE-FULL,1.0,0,1,"the ps2 was weaker than the xbox (not sure about the gamecube though re4 looked better on the gc), the psx was weaker than the n64 and the wii was significantly under powered compared to the competition.","now, i thought ""gamecube"" was a bad name, but the ""wii"" is about a million times weaker.","the gamecube and n64 were both more powerful than their competition and faltered, the wii was weaker and dominated.","the gamecube was much weaker than that ps2 and xbox so it sucked, but now that the wii has these stupid controls, no one will want to play it.","with the exception of the excellent super mario galaxy games, in my opinion the overall quality of games released on the wii was weaker than the nintendo 64 and gamecube."
gamecube,wii,larger,gamecube,GOOD,PREDICATE-DEPENDENT,1.0,0,1,wii u is selling much worse than gamecube in a much larger market.,"though the trend (shape) of each graph is somewhat similar, the gamecube scale is far larger (averaging a far greater # of high scoring games than the wii).",i can only hope that market the wii u manages to carve is larger than the gamecube.,"after all, nintendo seemed cialis jelly to be pushing the idea that online would play a much larger role on wii u than it had on both gamecube and wii.","despite the fact that the gamecube has a much larger userbase, pretty much everyone assumed that fans had already moved on to the wii."
gamecube,wii,memory,gamecube,GOOD,ASPECT,1.0,0,1,"memory for gamecube games, store up to 2043 blocks of information & is suitable for wii or gamecube consoles.","the nintendo wii has 512mb internal storage, this can save wii games, and mii's etc, but you will need a gamecube memory card to save gamecube games.",all you need is a gamecube controller and a gamecube memory card and you're ready to start playing gamecube games on the wii.,,
gamecube,wii,run,gamecube,BAD,,1.0,0,1,"when they ported resident evil 4 to the wii with new controls, they managed to make it look worse than the original gamecube version which could be run from the very same console .","i've tried wii game manager, which wont run and wii backup manager works with wii games but not gamecube games.","this wii seems to run wii games fine, but has a problem when i try to run gamecube games.","no, wii compatibility works the same way as gamecube compatibility on the wii, in that the wii u uses wii hardware to run wii games.",
gamecube,wii,better to just take it,gamecube,BAD,,1.0,0,1,the wii u could still be a worse than gamecube disappointment and it still might be better to just take it.,,,,
gamecube,wii,disk,gamecube,GOOD,ASPECT,1.0,0,1,the wii does not read anything smaller than a gamecube disk.,"unlike the wii games, when you put a gamecube game in, it just shows up as a small disk with no artwork.","hi guys, this place has been very helpful with most of my wii problems but i was wonder today if leaving the gamecube disk in my wii will cause problems.","the wii is pretty much a smaller gamecube with new controller, new design, new os and a regular disk drive instead of using tiny discs...",sooo yesterday i tryed useing the wii downgrader but i was disapointed lol ... i hoped that after downgrading my wii i'll be able to use my action replay for gamecube but it still won't read the disk... verry disapointing:p
gamecube,wii,closer to the n64 in terms of visual quality,gamecube,BAD,,1.0,0,1,sometimes i feel like wii games look worse than gamecube games and are closer to the n64 in terms of visual quality.,,,,
gamecube,wii,wiimote,gamecube,BAD,,1.0,1,0,mario galaxy was not better than sunshine because it used a wiimote instead of a gamecube gamepad.,"however, you don't plug the gamecube controller into the wiimote, but instead directly into the wii.","however, the wiimote and all wii functions are disabled once you start the gamecube game.",the poor ps3 integration makes me very glad nintendo released the wii rather than add on gamecube wiimote controllers.,
gamecube,wii,easier to use,gamecube,GOOD,PREDICATE-FULL,1.0,1,0,the gamecube controller is actually much easier to use than the classic controller that plugs into the wii remote.,"for those who are used to using a standard controller, options exist to play with the classic controller, as well as the gamecube controller, but i found it to be much more comfortable, quicker, and easier to use the wii remote and nunchuk.",,,
gamecube,wii,gamepad,gamecube,BAD,,1.0,1,0,mario galaxy was not better than sunshine because it used a wiimote instead of a gamecube gamepad.,"the wii u gamepad has been reverse-engineered by the developers behind the dolphin gamecube/wii emulator, with the controller's functions completely simulated on pc.","wii, wiiware, and virtual console games will be supported on wii u much the same way that gamecube titles were supported on wii, without any special features or gamepad support.","if the gamecube adjusted for inflation is $260, then we're getting the gamepad for a mere $40 since the gamecube is comparable to basic 8gb wii u edition.","however, the wii-u gamepad/pro controller can do quite a bit more than the gamecube controller, despite being less comfortable ."
gamecube,wii,greater,wii,BAD,,1.0,0,1,"the n64 is the gretest revolution in nintendo history, except for the wii, because it intoduced true 3-d graphics, better games, and better everything else, the only thing greater than it is the wii, the gamecube is still good though.","naturally, we are making efforts so that wii will show a far greater result than gamecube.","naturally, we are making efforts so that wii will show a far greater result than gamecube.","the wii has a potential far greater than that, certainly greater than the gamecube, and it seems idiotic for nintendo to not be making a more concerted attempt to capitalise on the huge media and consumer interest in the product.","the tight focus on a set amount of content has also allowed the team to craft one of the best-looking games on the wii - and this is arguably the first title to actually show that the system has potential greater than its predecessor, the gamecube."
gamecube,wii,games,wii,GOOD,ASPECT,1.0,0,1,"the n64 is the gretest revolution in nintendo history, except for the wii, because it intoduced true 3-d graphics, better games, and better everything else, the only thing greater than it is the wii, the gamecube is still good though.",all wii games have sold better than their gamecube predecessors.,"when the specs for the console were first announced, gaming aficionados rightly assumed that most wii games would look better than gamecube games, but worse than games on the 360.","nintendo started slow, the wii u may have better games than gamecube that i believe it could and even sell better than gamecube.",the wii is better than the gamecube but the current games haven't really shown that potential.
gamecube,wii,faster,wii,GOOD,PREDICATE-FULL,1.0,1,0,wiis 1tsram is better than gamecubes wiis gddr3 is better than xbox ram and wiis disc is way larger storage than xbox but way faster loading than gamecube .,the wii is 200mhz faster than the gamecube!!,the wii is even faster then the gamecube...,the wii is only 200mhz faster than gamecube!!,"that said, the wii is much faster than the gamecube."
gamecube,wii,easier,wii,GOOD,PREDICATE-DEPENDENT,1.0,0,1,"the wii controls are really outstanding, the proof is that the game is easier than the gamecube version.","the wiimote makes aiming weapons much easier than using analog sticks, but for those that still prefer standard controls, the classic controller and gamecube controller can be used.","wii to ds play was expected but considering everyone and their dog owns a ds, it should be easier to play than the gamecube one.","maybe it was easier to do a remake than port it over, maybe the wiiu won't support straight gamecube ports as we all thought it would.","all those games rock, i admit that all the wii games are alot easier than the gamecube versions but it's because they want to draw in non gamers as well as us."
gamecube,wii,graphics,wii,GOOD,ASPECT,1.0,1,0,"the n64 is the gretest revolution in nintendo history, except for the wii, because it intoduced true 3-d graphics, better games, and better everything else, the only thing greater than it is the wii, the gamecube is still good though.",wii sports is better than gamecube graphics.,"wii has better graphics than gamecube, you'll soon see.",the graphics on the wii are slightly better than the graphics on the gamecube.,wii: graphics are slightly better than gamecube no matter what they say.
gamecube,wii,n64,wii,BAD,,1.0,0,1,"the n64 is the gretest revolution in nintendo history, except for the wii, because it intoduced true 3-d graphics, better games, and better everything else, the only thing greater than it is the wii, the gamecube is still good though.",the wii was far better supported than the n64 and gamecube because it sold more.,he thinks so because the wii is getting the attention of devs much better than gamecube or n64 did.,"speed thrills mario kart wii definitely looks quicker than the gamecube and n64 versions all round, no matter which two- or four-wheeled vehicle you're controlling.","the wii u may be lower in sales than wii, but it is still selling better than n64, gamecube, xbox, xbox360, or ps3 did during the same time frame."
