question,short_answ,long_answ,explanation
what is it called when a solid melts into a liquid,['Melting'],['It is called melting when a solid melts into a liquid.'],"The dry ice does not seem to change to a liquid. Explain to students that the reason that the dry ice does not make the paper towel wet is because it does not melt. When energy is transferred to dry ice, the solid carbon dioxide does not melt to liquid carbon dioxide. Instead, the solid changes directly to a gas."
why does glucose produce more carbon dioxide than starch in fermentation,"['Glucose is oxidized to eventually form CO2 and water, yielding energy, mostly in the form of ATP.Sucrose is a disaccharide, consists of 2 monosaccharides. While starch is a polysaccharide, a complex carbohydrate.']","['Glucose produces more carbon dioxide than starch in fermentation because it is oxidized to eventually form carbon dioxide and water, yielding energy, mostly in the form of ATP while starch is a polysaccharide, a complex carbohydrate.']","Ethanol fermentation, also called alcoholic fermentation, is a biological process which converts sugars such as glucose, fructose, and sucrose into cellular energy, producing ethanol and carbon dioxide as a side-effect.east organisms consume sugars in the dough and produce ethanol and carbon dioxide as waste products. The carbon dioxide forms bubbles in the dough, expanding it into something of a foam. Nearly all the ethanol evaporates from the dough when the bread is baked."
what james 4 vs 13-17 mean,"[""Never, never, never leave God out of your life's plans.""]","[""James 4, 13 to 17 means 'Never, never, never leave God out of your life's plan'.""]","James 4:11-17.  11 Do not speak evil against one another, brethren. He that speaks evil against a brother or judges his brother, speaks evil against the law and judges the law. But if you judge the law, you are not a doer of the law but a judge. 12 There is one lawgiver and judge, he who is able to save and to destroy.7 Whoever knows what is right to do and fails to do it, for him it is sin.. In the section previous to this one, James tells his readers that the best way to deal with the lives they live in this fallen world is humbly before God. When we humble ourselves, we are not seeking a way to think poorly of ourselves."
what system is better than bose lifestyle,"[""Pioneer Elite receiver (Best Buy VSX-01) or an Onkyo (Fry's TX-SR606) with separate speakers fron JBL (CS6100) or Klipsch (Synergy Quintet III & 10 sub-10).""]",['A Pioneer Elite receiver or an Onkyo with separate speakers from JBL or Klipsch is better than Bose lifestyle.  '],"Personally, I can't stand the sound of Bose. The lows are muddy and boomy, the midrange is non-existent, and the highs are hissy. With the quality of most mid priced receivers on the market today, the difference in sound is the speakers. You can drive top quality speakers with a mediocre amp and get good sound.est Answer: Onkyo has been coming out with lots of box systems (new ones almost every week.) These look decent, include BluRay players and have lots of spare connections for HD cable, TV, Game systems, etc. Bose-is not BluRay compatible."
what is oil cooler assembly,['Cooling oil in the lubrication system of an internal combustion engine.'],['An oil cooler assembly is a cooling oil in the lubrication system of an internal combustion engine.'],The pink car is a Silvia S13 with a body kit 1  . The -10 speedflow braided hose comes through the radiator support panel beside the headlight. This pic. also shows our dual pass radiator with 16 electric fan. 2  This is how the braided hose comes forward off the oil cooler sandwich plate adapter.
is it better to run a pool filter at night or during the day,['Running the pump at night should only be when you are doing a major chemical treatment such as algae clean-up.'],['It is better to run a pool filter during the day as running the pump at night should only be when you are doing a major chemical treatment such as algae clean-up.'],"Is it feasible to run your pool pump for cleaning at night instead of day? In some places, the cost of electricity is lower at night versus the day."
average vs instantaneous velocity,"['Instantaneous velocity of an object at a particular time is equal to the slope of its position vs. time graph at that time. On the other hand, the average velocity between two times is equal to the slope of the line joining the two points on the position vs. time graph.']","['Instantaneous velocity of an object at a particular time is equal to the slope of its position versus time graph at that time. On the other hand, the average velocity between two times is equal to the slope of the line joining the two points on the position versus time graph.  ']","This answer doesn't require any deriving. Average velocity is simply the slope of the velocity over a certain interval, and instantaneous velocity is the slope at a certain point on the interval. We know that the acceleration graph is simply the graph of the slope of the velocity function.The slope of this graph is clearly linear."
do raisins contain more sugar than grapes?,"[""A raisin has as much sugar as a grape, assuming the producer didn't add corn syrup or sugar to the raisins.""]","['No, raisins do not have more sugar than grapes.']","Confidence votes 4.8K. It doesn't. A raisin has as much sugar as a grape, assuming the producer didn't add corn syrup or sugar to the raisins. Because, however, raisins have had most of the water removed, the amount of sugar per ounce is going to be much more for raisins than fresh fruit. An ounce of raisins might contain several dozen raisins (which have the sugar of several dozen grapes) versus an ounce of grapes, which contains, perhaps, 8 grapes (the sugar content of 8 raisins)."
does mercury travel faster than earth,['Yes'],"['Yes, Mercury travel is faster than earth.', 'Yes, Mercury travels faster than Earth.', 'Yes, Mercury travels faster than earth.', 'Yes, Mercury travels faster than the Earth.', 'Yes, Mercury travels faster than the earth.', 'Yes, mercury travels faster than earth.', 'Yes, Mercury travel faster than Earth.', 'Yes, Mercury is travel faster than earth.', 'Mercury travels faster than Earth.']","Yes, it does. The farther a planet is from the sun, the slower is its orbit. Earth's orbital speed is about 29.8 km/s, and the orbital speed of Mars is about 24 km/s. A year o … n Mars is about 687 earth days. Correct, the Earth orbits the sun faster than Mars does. 6 people found this useful. Sidharth.D."
what structures are located inferior to the prostate on either side of the membranous urethra within the deep muscles of the perineum?,['Bulbourethral gland'],['Bulbourethral gland is located inferior to the prostate on either side of the membranous urethra within the deep muscles of the perineum.'],"The greater vestibular glands (N361), the female counterpart of the bulbourethral gland in the male, are located on each side of the vestibule of the vagina, posterior to the bulb of the vestibule. The perineal body (N361) is a midline union of all muscles in the perineum except the ischiocavernosus muscles."
when will the next episode of star vs the forces of evil,['Every day in February'],['The next episode of Star versus the Forces of Evil will be everyday in February.'],"A mix of Gravity Falls, Steven Universe, and JUST A PINCH of Ren and Stimpy in there too, Star vs The Forces of Evil delivers beautiful animation, good characters, and a pretty straightforward plot that's easy to follow."
why can children be darker than parents,['Their dark color is readily explained by laws of genetic skin color inheritance whereby two mulattoes can produce a child darker than either parent.'],['Children can be darker than parents because two mulattoes can produce a child darker than either parent explained by laws of genetic skin color inheritance.'],In short the article claims that a child can never be darker than their parents. Even if one of the parents is black. Interesting (a certain aunt of mine would have much explaining to do if my friend turns out to be right ;)).heir dark color is readily explained by laws of genetic skin color inheritance whereby two mulattoes can produce a child darker than either parent. The children referred to in the census data had mulatto mothers and either mulatto or black fathers.
where is superior vena cava located,"['The superior vena cava is a large vein located in the upper chest, which collects blood from the head and arms and delivers it back to the right atrium of the heart.']",['The superior vena cava is located in the anterior right superior mediastinum.'],"From Wikipedia, the free encyclopedia. The superior vena cava (also known as the cava or cva) is a large diameter (24 mm), yet short, vein that carries deoxygenated blood from the upper half of the body to the heart 's right atrium.It is located in the anterior right superior mediastinum.rom Wikipedia, the free encyclopedia. The superior vena cava (also known as the cava or cva) is a large diameter (24 mm), yet short, vein that carries deoxygenated blood from the upper half of the body to the heart 's right atrium."
why is a savings account better than a checking account for saving money,"['Savings accounts always accrue interest. The interest rate depends on the bank, the type of savings account (e.g., see Money Market vs Savings Account), and the amount deposited, but is always higher than the interest rate on checking accounts.']",['Savings account better than a checking account for saving money because they always accrue interests and also it is always higher than the interest rate on checking accounts.'],"By Odysseas Papadimitriou. + More. Checking is the new savings, according to a WalletHub report last month, which found interest-bearing checking accounts pay as much as five times more interest on balances up to $50,000 than savings and money market accounts.y Odysseas Papadimitriou. + More. Checking is the new savings, according to a WalletHub report last month, which found interest-bearing checking accounts pay as much as five times more interest on balances up to $50,000 than savings and money market accounts."
what is the legal age for a child to be home alone for more than a day,['16 to 17 years'],['The legal age for a child to be home alone for more than a day is 16 to 17 years.'],"You’ll see that 19 states have specific laws about when it is legal to leave a child in a car. Five states have laws that specify what age a child can be home alone, and 10 states have “guidelines.” For states that don’t have these, the child neglect laws are the next most relevant sources of information. You can find those here."
which is better las vegas premium outlet north or south,['South'],['Las Vegas South Premium outlet is better.'],"The difference at a glance. According to some shoppers, there is no much difference between the Las Vegas Premium Outlets North and South. However, these two locations differ in at least two main aspects. North location is more upscale, has 150 stores and is an outdoor mall.t's easier to get to the Las Vegas Premium Outlets North by bus (SDX from The Strip) than to drive there. Thanks to its popularity the mall definitely has problems with parking space despite the major expansion in 2008. However, this is the problem that most of popular outlet malls have these days."
who won brock lesnar vs undertaker,['Brock lesnar'],['Brock Lesnar won the Brock Lesnar vs Undertaker.'],"“Beast Incarnate” Brock Lesnar, 38, took on The Undertaker, 50, at WWE’s SummerSlam and the wrestling world was treated to an amazing clash between two titans of the ring."
dollar vs euro index,"['The US dollar index fell more than 1% to as low as $93.51, its weakest level in four months. The euro, meanwhile, strengthened to as much as $1.137 against the dollar']","['The US dollar index fell more than 1% to as low as $93.51, its weakest level in four months. The euro, meanwhile, strengthened to as much as $1.137 against the dollar']","Following this report, the US dollar index fell more than 1% to as low as $93.51, its weakest level in four months. The euro, meanwhile, strengthened to as much as $1.137 against the dollar.And after opening the session higher, US stocks were losing steam in afternoon trading, with the Dow and S&P 500 turning negative and the Nasdaq up just 3 points. Here's a chart showing the dollar's drop after the retail sales report: FinViz.he euro, meanwhile, strengthened to as much as $1.137 against the dollar. And after opening the session higher, US stocks were losing steam in afternoon trading, with the Dow and S&P 500 turning negative and the Nasdaq up just 3 points. Here's a chart showing the dollar's drop after the retail sales report:"
what layer of the earth is made of solid metal,['Inner core'],['The inner core layer of the earth is made of solid metal.'],"The layer of the earth made of liquid metal is called the Outer Core, I will attach a link below which shows a diagram of the Earth's structure. 25 people found this useful."
when did darker than black come out,['2007'],['Darker than black came out in 2007.'],"Darker than black is a neo-noir esque, action-packed thriller about a world where super beings exist, known as contractors, and the many organizations they belong too, some notably being the CIA, MI6 and Japanese government."
who was the first person to fly faster than the speed of sound,['Chuck Yeager'],['Chuck Yeager was the first person to fly faster than the speed of sound.'],"And there was some indication that we had been going faster than we had thought. But we had no idea what was going to happen on the next flight. And when we got the airplane up to oh, about 96 percent of the speed of sound indicated, that was almost Mach 1."
what is the general name of the group of hormones produced by the anterior pituitary than then exert an effect on target organs to produce another hormone,['Adenohypophysis or pars anterior'],['Adenohypophysis or pars anterior are the general name of the group of hormones produced by the anterior pituitary than exert an effect on target organs to produce another hormone.'],"Hormones. are secreted from the glands of the endocrine system, they are specific in that each hormone causes a response in a specific target organ or group of cells, rather than on the body as a whole. Exocrine hormones are secreted via a duct into the blood and usually effect a distant organ or tissue.he Anterior Lobe of the pituitary plays the 'master' role secreting six major hormones that affect most of the body, including the other Endocrine glands: 1  ACTH (Adrenocorticotrophic hormone) stimulates the adrenal glands to secrete its hormones."
what percent to feed hens for better eggs,['2 percent more protein and more calcium content'],['There is 2 percent to feed hens for better eggs.'],"If you’re raising layer hens: From when your chicks hatch until six weeks of age, feed your chicks a starter feed that has a protein level of 20-22 percent. Once the chicks hit six weeks of age, feed them pullet grower (14 to 16 percent protein) until age 20 weeks.After that, switch your hens to layer feed with a protein level of 15 to 18 percent. (MONEY-SAVING SECRET: Layer feed is often expensive.Save yourself some money by substituting 1/2 lb. of grain, such as barley or corn, for 1/2 lb. of poultry ration every day.he University of California-Davis recommends the following for feeding layer hens: 1  Chick starter: 2 to 2.9 lbs. 2  per chick for the first six weeks. 3  Pullet grower: 12 to 13 lbs. 4  per pullet for approximately 14 weeks. 5  Layer feed: 1.8 to 2.4 lbs."
can a student have more than one 529 plan,"['No', 'Yes']","['No, a student cannot have more than one 529 plan.']","Dear Anne, Your child can have more than one qualified tuition program, or QTP, or 529 plan, so feel free to open one up for him.There are contribution limits for these plans and gift tax implications for large gifts. That's because a beneficiary is considered to be the recipient of a gift of the contribution to the plan.s a child allowed to have more than one 529 plan? I am divorced, and my ex-husband has a 529 for my son. I want to know if I can open my own 529 for him, or do I need to contribute to the existing account my ex-husband opened? I appreciate the advice."
"what makes science objective, rather than subjective?",['Science is a value that informs how science is practiced and how scientific truths are discovered.'],"['Science is a value that informs how science is practiced and how scientific truths are discovered which makes science objective, rather than subjective.']","When to Be Objective and Subjective. Objective : it is important to be objective when you are making any kind of a rational decision. It might involve purchasing something or deciding which job offer to take. You should also be objective when you are reading, especially news sources."
which is faster mustang or camaro,['Camaro'],['Camaro is faster than mustang.'],"Why: The Ford Mustang GT gets 6 mpg better, produces almost the same power as the Camaro SS with 1.2L of displacement less, is faster from 0-60 mph by 4/10 of a second, and received a GOOD quality rating, while the Camaro SS received an AVERAGE quality rating. So I know which one I'd rather have."
does superior vena cava have valves,"['No', 'No.']","['No, the superior vena cava does not have valves.']",All blood enters the right side of the heart through two veins: The superior vena cava (SVC) and the inferior vena cava (IVC) (see figure 3). The SVC collects blood from the upper half of the body. The IVC collects blood from the lower half of the body.
when can a kitten start eating solid food,['3 or 4 weeks in age'],['A kitten can start eating solid food in 3 or 4 weeks of age.'],"Use canned food or dry kitten food mixed with water; at first, add a lot of water, and then reduce the amount of water as the kitten matures. A general schedule for kitten weaning might be: Weeks 4-5: Give wet or moistened dry food, mixed with formula to form a slush."
what layer of the earth is in a solid state,['The mantle'],['The mantle layer of the earth is in a solid state.'],"The truth of this similarity between the sky and the layers of the Earth, only identified by 20th century technology, is without doubt another of the Qur'an's scientific miracles. 23. “Inside the Earth,” http://pubs.usgs.gov/publications/text/inside.html."
different types of solid fuels,"['Solid fuels include wood (see wood fuel), charcoal, peat, coal, Hexamine fuel tablets, and pellets made from wood (see wood pellets), corn, wheat, rye and other grains.']","['Solid fuels include wood, charcoal, peat, coal, Hexamine fuel tablets, and pellets made from wood, corn, wheat, rye and other grains.']","Solid fuel refers to various types of solid material that are used as fuel to produce energy and provide heating, usually released through combustion.Solid fuels include wood (see wood fuel), charcoal, peat, coal, Hexamine fuel tablets, and pellets made from wood (see wood pellets), corn, wheat, rye and other grains.he use of other solid fuels such as wood is increasing as heating technology and the availability of good quality fuel improves. In some areas, smokeless coal is often the only solid fuel used."
can you connect more than one wifi range extender,['No'],"['No, you cannot connect more than one wifi range extender.']","I originally posted this in the wrong forum-sorry all. Is it possible to have more than one 802.11g range extender on a wireless network. For example, my main (wired) desktop is in my home office at one end of the house and the laptop is used in the other end (about 70 feet away). originally posted this in the wrong forum-sorry all. Is it possible to have more than one 802.11g range extender on a wireless network. For example, my main (wired) desktop is in my home office at one end of the house and the laptop is used in the other end (about 70 feet away)."
what episode is gaara vs sasuke,['Episode 48-50'],['Episode 48 to 50 is Gaara vs. Sasuke. '],let's give this a shot. *deep breath*. Episode 21 (First appearance) Episode 34 (Forest of Death) Episode 48-50 (Gaara vs Rock Lee) Episode 58 (Hospital) Episode 65-67 (Gaara vs Sasuke) Episode 74-75 (Gaara vs Sasuke cont.)
when feel further along in pregnancy than due date,"['The estimated date of delivery (EDD, or sometimes EDC) or the date when a pregnancy reaches exactly 40 weeks from the last menstrual period.']",['You feel further along in pregnancy on the estimated date of delivery or the date when a pregnancy reaches exactly 40 weeks from the last menstrual period.'],"The most common way to calculate your due date is to start with the first day of your last menstrual period (LMP). Add 7 days, and then count backward 3 months. For example, if your last period started on March 20, you would add 7 days to get March 27. Then subtract 3 months to get a due date of December 27."
when was the last time the canadian dollar was worth more than the us dollar,['In 1970.'],['The Canadian dollar was worth more than the U.S. dollar in 1970.'],"From the Canadian pound to the Canadian dollar[edit] In 1841, the Province of Canada adopted a new system based on the Halifax rating. The new Canadian pound was equal to four US dollars (92.88 grains gold), making one pound sterling equal to 1 pound, 4 shillings, and 4 pence Canadian. Thus, the new Canadian pound was worth 16 shillings and 5.3 pence sterling."
why is left ventricle wall thicker than the right,['Because the left ventricle allows the arteries to rum through it.'],['The left ventricle wall is thicker than the right because the left ventricle allows the arteries to rum through it.'],"No. The wall of the left ventricle is much thicker. The left ventricle pumps blood through the systemic circuit, which travels though the entire body, excluding the lungs, r … eturning to the right atrium."
who was the only president to serve more than two terms,['Franklin Delano Roosevelt'],"['Franklin Delano Roosevelt was the only president to serve more than two terms.', 'The only president to serve more than two terms was Franklin Delano Roosevelt. ']",The 22nd amendment states a president cannot serve more then two terms. FDR was elected to serve four terms. After FDR's death the 22 amendment of the constitution was ratified and limited presidents to serving two terms. FDR was the only one to serve more than 2 terms.
why do we smell differently than others,"['When someone has an MHC with a composition unlike yours, they have stronger immunity toward different diseases and medical conditions than you do, so they naturally smell better to you.']","['When someone has a major histocompatibility complex with a composition unlike yours, they have stronger immunity toward different diseases and medical conditions than you do, so they naturally smell different to you.']","Researchers at Duke University have tracked down the reason that we all have a different sense of smell, and it turns out that it’s much more complicated than either liking or not liking something—we’re actually smelling things in a completely different way."
who grows faster boys or girls,"['During the growth spurts, boys grow a little faster than girls.']",['Boys grow a little faster than girls.'],"Physical growth. Between the big growth stages of infancy and adolescence, boys and girls grow in height and weight at about the same slow but steady rate. There aren't notable differences between the sexes until late elementary school – that's when girls start to grow taller faster, although boys catch up and exceed them within a few years."
which is faster exothermic or endothermic,['Exothermic'],['Exothermic is faster.'],heat will be absorbed and the products will be formed faster exothermic reaction will undergo spontaneously as it does not require any energy while endothermic reaction has to be supplied with energy to happen therefore exothermic reaction will be faster than endothermic reaction
when does new season of better call saul start,['2016'],['The new season of Better Call Saul starts at 2016.'],"Better Call Saul is a television series spin-off from Breaking Bad. The first season of Better Call Saul premiered on February 8, 2015. The series follows Jimmy McGill (Bob Odenkirk), who would eventually become Saul Goodman. It is set in 2002, six years before he became Walter White 's lawyer in Breaking Bad."
what was the supreme court's decision in brown vs board of education,['Supreme Court case in which the Court declared state laws establishing separate public schools for black and white students to be unconstitutional.'],"[""Supreme court's decision in brown vs board of education was Supreme Court declared state laws establishing separate public schools for black and white students to be unconstitutional.""]","Check local listings. Brown v. Board of Education (1954). Brown v. Board of Education (1954), now acknowledged as one of the greatest Supreme Court decisions of the 20th century, unanimously held that the racial segregation of children in public schools violated the Equal Protection Clause of the Fourteenth Amendment.other (Nettie Hunt) and daughter (Nickie) sit on steps of the Supreme Court building on May 18, 1954, the day following the Court's historic decision in Brown v. Board of Education."
what is better for spasma heat or ice,['Heat'],['Heat is better for spasms.'],"Ice is for injuries, and heat is for muscles. Roughly. Ice is for injuries — calming down damaged superficial tissues that are inflamed, red, hot and swollen. The inflammatory process is a healthy, normal, natural process … that also happens to be incredibly painful and more biologically stubborn than it needs to be."
what works better tylenol or advil sinus,['Acetaminophen'],['Acetaminophen works better than Advil Sinus.'],"Advil Sinus is a combination of ibuprofen and phenylephrine. Tylenol Sinus contains phenylephrine as well, but instead of ibuprofen, it uses acetaminophen. Phenylephrine is a common OTC decongestant used to reduce swelling in the sinus cavity, making it easier to breathe and enabling excess mucus to drain properly."
what type of solution exists if there is excess undissolved solid present,['Saturated solution'],['A saturated solution exists if there is excess undissolved solid present.'],"The salt is the solute and the water the solvent. In chemistry, a solution is a homogeneous mixture composed of two or more substances. In such a mixture, a solute is a substance dissolved in another substance, known as a solvent."
why is the left ventricle thicker than right,['Right ventricle gives blood to nearby organs like the lungs so it needs a less thick wall whereas left ventricle has to supply blood to all parts of the body and so it pumps with larger pressure and to sustain that pressure it is thick.'],"['The left ventricle is thicker than right because the left ventricle is longer and more conical in shape than the right, and on transverse section its concavity presents an oval or nearly circular outline.  ']","Also, the pressure within the left ventricle is much more than the right ventricle. This difference in workload affects the structure of the ventricular walls and thus the muscular wall of left ventricle is much thicker than the right ventricle owing to the drastic increase in workload per pumping."
which brakes have better stopping power,['Disc brakes'],['Disc brakes have better stopping power.'],"Because a car weight is going to shift with braking, over two thirds of the braking effort occurs in the front of the car. There is not quite the need to have disc brakes, which are more expensive than drum brakes, on all four wheels. The maintenance of a drum brake is also cheaper."
which quidditch world cup number was ireland vs bulgaria,['422nd'],['The 422nd Quidditch World Cup was between Ireland and Bulgaria.'],"In the fantasy world of the Harry Potter children's novels and movies, Quidditch /ˈkwɪdɪtʃ/ is a magical competitive sport involving flying contestants. Matches are played between two teams of seven players riding flying broomsticks, using four balls: a Quaffle, two Bludgers, and a Golden Snitch."
what type of blood does the inferior vena cava carry,"['De-oxygenated blood', 'Deoxygenated blood']",['The inferior vena cava carries de-oxygenated blood.'],"The superior vena cava returns blood from the upper body to the heart, and the inferior vena cava returns the blood from the lower part of the body. The superior vena cava is thin-walled, and the blood is under low pressure. It lies near lymph nodes in the chest. Therefore, when the lymph nodes or the aorta of the heart get bigger, the superior vena cava is squeezed, blood flow slows, and complete blockage may occur."
how many hours ahead is india than new york,['9.5 hours'],['India is 9.5 hours ahead than New York.'],"India is 9.5 hours ahead of New York. Since New York observes daylight saving time and India does not, from the 2nd Sun. of March until the 1st Sun. of Nov., India (UTC + 5.5 hrs.) is 9½ hrs. ahead of New York (UTC - 4 hrs.)."
what was the supreme court decision in korematsu vs us,"['Korematsu v. United States, 323 U.S. 214 (1944), was a landmark United States Supreme Court case concerning the constitutionality of Executive Order 9066, which ordered Japanese Americans into internment camps during World War II regardless of citizenship.']","['Korematsu vs United States, 323 U.S. 214  in 1944, was a landmark United States Supreme Court case concerning the constitutionality of Executive Order 9066, which ordered Japanese Americans into internment camps during World War II regardless of citizenship.']","Unsourced material may be challenged and removed. (June 2015). Korematsu v. United States, 323 U.S. 214 (1944), was a landmark United States Supreme Court case concerning the constitutionality of Executive Order 9066, which ordered Japanese Americans into internment camps during World War II regardless of citizenship.he opinion, written by Supreme Court justice Hugo Black, held that the need to protect against espionage outweighed Fred Korematsu 's individual rights, and the rights of Americans of Japanese descent."
what's worse misdemeanor or infraction m,['Misdemeanors'],['Misdemeanors are worse.'],"Misdemeanors are generally punished less severely than felonies, but theoretically more so than administrative infractions (also known as minor, petty, or summary offences) and regulatory offences. Many misdemeanors are punished with monetary fines."
which one is easier to learn of python and java,['Python'],['Python is easier than Java to learn.'],"I've worked with Csharp for short time, (it's comparable to Java), and I've also worked with Matlab and I can say that python is better than both of them, in terms of: 1  Simplicity (compared to Java or any C derivatives).  Open source, object oriented (compared to Matlab)."
how much does an rn make vs a bsn,"['$49,851 and $130,200']","[' rn, registered Nurse vs BSN, Bachelor of Science in Nursing vs rn, registered nurse do between $49,851 and $130,200.']","A BSN is a Bachelor of Science degree in nursing. There are many different type of nurses, but a BSN requires more education than other nursing occupations. A BSN nurse is a type of registered nurse that has obtained a 4 year degree from an accredited college or university."
what is the solid form of water,['Ice'],['Ice is the solid form of water.'],"Water is an essential part of the earth system. Water is special not only because it covers over 70% of the earth's surface, but also because it is the only known substance that can exist in gaseous, liquid, and solid phases within the relatively narrow range of temperatures and pressures found on earth."
where is the usa vs mexico game,"['At the Rose Bowl in Pasadena, California.']","['The USA vs Mexico game is at the Rose Bowl in Pasadena, California.']","The clash of North American soccer titans is upon us, as the United States men’s national soccer team faces Mexico in the 2015 CONCACAF Cup."
what sitcom other than andy griffith is about the town of mayberry,['Otis Campbell'],['Otis Campbell sitcom other than Andy Griffith is about the town of Mayberry.'],"As you can see, most of the Mayberry buildings are much taller than they appear on The Andy Griffith Show. Andy and the producers felt that, by keeping the camera angles low, viewers would get more of a ‘small-town feel’ rather than showing the taller buildings – such as the four-story Mayberry Hotel1 (top right)."
how many people go to private schools than public schools,['4.9 million students'],['There are 4.9 million students go to the private schools than public schools.'],"Therefore, private schools cost more than the public schools. According to National Association of Independent Schools, the median tuition fee for private day schools in the United States is close to $12,000 for grades 1 to 3, $13,000 for grades 6 to 8 and $15,000 for grades 9 to 12.ublic schools are required to operate for a minimum of 180 days as per the compulsory attendance law. In addition, public school teachers must be employed for at least 16 days beyond the school term. Private schools are not subject to as many state and federal regulations as public schools."
which structure is an accessory structure rather than part of the cutaneous membrane?,"['Hair, nail, and glands.']","['Hair, nails and glands are part of the accessory structure rather than part of the cutaneous membrane. ']","Secretions of sudoriferous glands provide nutrients for bacteria. They are the opposite of antibacterial. The integumentary system contains two components, the outer __________ and the underlying dermis, along with several accessory structures."
which is faster microsoft edge or google chrome,['Microsoft Edge is massively faster than Google Chrome.'],['Microsoft Edge is massively faster than Google Chrome.'],"Well, Google Chrome is faster than Microsoft Edge, but...only if you don't have any extras like extensions installed. When you add those in, Chrome slows down to a crawl. Well, I have installed Ghostery to block tracking and my browsing speed almost tripled."
grams of sugar vs teaspoon measurement,['One teaspoon of granulated white sugar is equal to about 4.2 grams.'],['One teaspoon of granulated white sugar is equal to about 4.2 grams.'],"It depends which substance you are talking about. Teaspoon is a measurement of volume, while a gram is a measurement of weight. 1 teaspoon is 5ml (5 grams of water). Many Dietitians and nutritionists have established that 4 grams of white sugar (granulated) is equal to 1 teaspoon of sugar…."
what's smaller than a centimeter,['Millimeter'],['A millimeter is smaller than a centimeter.'],A millimeter is smaller than a centimeter. A millimeter is  one-thousandth of a meter and a centimeter is one-hundreth of a  meter.  10 mm = 1 cm.  1 cm = 10mm . 14 people found this useful. Edit.
what the difference full coverage vs 3rd party insurance,"['Third party insurance only covers the property of the other person(s) involved in an accident, not your car.Full coverage insurance (or comprehensive insurance) also covers your car if you damage it.']","['Third party insurance only covers the property of the other person involved in an accident, not your car.Full coverage insurance also covers your car if you damage it.']","Third party insurance only covers the property of the other person(s) involved in an accident, not your car.Full coverage insurance (or comprehensive insurance) also covers your car if you damage it.hird Party Insurance only covers the person you have hit in the accident, you have to pay for all the damage to your own vehicle yourself. Fully Comprehensive covers all yo … ur damage and all of the other person's damage. + 40 others found this useful."
what makes one protein capable of a different function than other proteins?,['Nucleotide sequence'],['Nucleotide sequence makes one protein capable of a different function than other proteins.'],"Amino acids interact with each other to produce a well-defined three-dimensional structure, the folded protein (the right hand side of the figure), known as the native state. The resulting three-dimensional structure is determined by the amino acid sequence (Anfinsen's dogma)."
what is the two superior chambers of the heart,['Atria (= entry halls)'],['The two superior chambers of the heart are the atria.'],"The pumping chambers are the lower two chambers, the ventricles. The right ventricle pumps blood to the lungs, and the left ventricle pumps blood to the body through the aorta … ."
what state lies farthest south than any other state in the united states,['Hawaii'],['The southernmost state in the United States is Hawaii. '],"Loading... But for practicable reasons Alaska is only thought of as being the furthest Western and Northern State. Of the mainland southern states Maine is the furthest east, Washington the farthest to the west, Florida the furthest state to the south and Minnesota is actually the furthest north.Although it appears on maps as Maine is further north it lies at 49° while Minnesota lies 49°23′ well north of any point of Maine.hen the United States purchased Alaska for 2 cents an acre in 1867 it created a real geographic anomaly for the US. This might be hard to believe but Alaska is the most Northern, Western and Eastern State in the US."
which is worse for kidneys-naproxen or ibuprofen,['Ibuprofen'],[' The Ibuprofen  is worse for kidneys Naproxen .'],"Some examples of NSAIDs include ibuprofen (Motrin®, Advil®), naproxen (Aleve®, Anaprox®, Naprosyn®, Naprelan®), celecoxib (Celebrex®), ketoprofen (Orudis®, Oruvail®), etodolac (Lodine®, Lodine® XL), diclofenac (Cataflam®, Voltaren®), and others."
which is better for you aspirin or ibuprofen,['Aspirin'],['Aspirin is better for you.'],"Acetaminophen or aspirin is generally a better first option for those with heart problems, such as heart disease, uncontrolled high blood pressure, or previous heart attack or stroke. Skip acetaminophen if you regularly drink three or more alcoholic drinks per day; the combination increases the risk of liver damage."
what makes a diesel engine stronger than gas engine,"['Diesel engines, because of the weight and compression ratio, tend to have lower maximum RPM ranges than gasoline engines,This makes diesel engines high torque rather than high horsepower.', 'The high-compression ratios and resulting high cylinder pressure in diesel engines, they must be built to withstand more punishment than gas engines.']","['The high compression ratios and resulting high cylinder pressure in diesel engines, they must be built to withstand more punishment than gas engines makes a diesel engine stronger than gas engine.', 'The high-compression ratios and resulting high cylinder pressure in diesel engines makes a diesel engine stronger than gas engines.']","By comparison, 15 PSI boost in a gasoline engine is a lot of boost. Diesel fuel has about 11 percent more energy per gallon than gasoline too. And if all of that isn't enough, a diesel is also more efficient than a gas engine."
where is the corona cooler made,['Mexico'],['A Corona cooler is made in Mexico.'],"Corona Ice Chest Features. This Corona cooler is made of high quality stainless steel and measures 26 inches long, 18 inches wide, and 17 inches deep. It weighs around 22 pounds and has a 54 quarts capacity. This is equivalent to storing up to 85 cans of beer."
