domain	object_a	object_b	Google	Yahoo Answers	Quora	Eval	Quora Link
jbt	harvard	cornell			Academically at the undergraduate level, Cornell and Harvard are the same. Egos are big at any top-tier school, but I think they’re bigger at Harvard. Harward is infamous for stress ingeneral. Engineering at Cornell is stronger than Engineering at Harvard.  Harvard would win in the liberal arts in general, but Cornell has great research and engineering opportunities. Also, Cornell is famous for interdisciplinary program among colleges within the University. The quality of your education, whether it's in Harvard or Cornell, comes down mainly to the choices you make and the opportunities you take.		https://www.quora.com/Which-university-is-most-stressful-for-undergraduate-Harvard-vs-MIT-vs-Yale-vs-Stanford-vs-UPenn-vs-Cornell, https://www.quora.com/Why-would-someone-choose-Cornell-over-Harvard, https://www.quora.com/Academically-how-big-of-a-gap-is-there-between-Cornell-and-Harvard
jbt	virginia	missouri			? In Virginia, you should see the Shenandoah national park in fall and Blue Ridge Parkway. The most notable attractions in Missouri are the St Louis Gateway Arch and Kansas City - the Big Muddy(Missouri River), the museums, parks, memorials, restaurants and neighborhoods.		https://www.quora.com/If-I-had-to-see-one-thing-in-every-state-in-the-US-what-would-that-be
jbt	ps2	ds			? I would say go with the PS2 version of Dragon Quest V. I bought it for the DS and my copy basically blacks out and becomes unresponsive during a mandatory floor transition about halfway through the game.		https://www.quora.com/Should-I-play-Dragon-Quest-V-on-the-PS2-or-DS
jbt	fishing	skiing			what is fun about fishing? just about everything from choosing rods, reels, etc, to learning new techniques, to planning fishing trips and jetting off to far flung places. Being outdoors in beautiful countryside. Pitting yourself against quarry in its own element, fighting it on rod and line, successfully landing it and then respectfully releasing it. It’s nice to get some action in nature during the winter months. Skiing, on the other hand, has its strong points. Skiing is the closest thing to flying. It is spiritual. It is a healthy activity. It is a wonderful activity to share with others. It brings us close to nature. It is simply fun.		https://www.quora.com/Why-do-you-like-fishing, https://www.quora.com/What-is-the-appeal-of-skiing
jbt	timber	lumber			The word lumber is not used outside North America. Timber is timber, the US refers to timber as lumber.  In the US this is how it is summarised. Timber is dominantly considered as the wood that is still attached to the ground whereas lumber is no longer standing on the ground. Timber is widely accepted as the wood with its bark still on whereas lumber no longer has the wooden bark. Timber is the word used to refer to wooden boards in the U.K. and Australia while lumber is the wooden board for the American and Canadian denomination. According to North America, lumber is the finished wood product often made commercially available especially in construction whereas timber still has to be cut and processed for it to be sold for construction purposes.		https://www.quora.com/What-is-the-difference-between-timber-and-lumber
jbt	football	basketball			Soccer is more challenging than basketball because using your feet is much more complicated and difficult than using your hands. Soccer requires you to be more fit. It has greater skill and greater difficulty level. A seven footer with poor skills can manage to play basketball purely on the basis of his physical gifts. No such chance in soccer. Soccer is played by 11 players as compared to 5 in basketball. Coordination is far more difficult and it is more of a team game.		https://www.quora.com/Is-soccer-more-tiring-than-basketball, https://www.quora.com/Which-sport-is-better-basketball-or-football
jbt	soda	juice			Soda made from cane sugar and naturally fermented is pretty amazing. Root beer is awesome. Orange pineapple strawberry juice is pretty cool, too. Both are sugar filled and incredibly unhealthy for you though. They also both are linked to diabetes and weight gain. But juice is always healthier than soda. Soda is just carbonated water which does not have any health benefits rather have side effects. On the other hand fresh juice is power-packed with nutrients which at least is the value addition.		https://www.quora.com/Which-do-you-like-better-juice-or-soda, https://www.quora.com/Are-fruit-juices-actually-healthier-than-soda
jbt	basketball	tennis			Basketball is a solid choice if you’re looking for a team sport to help you lose weight. If you prefer individual sports, playing singles tennis is about the equivalent of playing basketball or football. 		https://www.quora.com/Should-I-play-tennis-or-basketball-to-lose-weight
jbt	michigan	carolina			Thus I leave it to you. Do you wish to live in a heavily unionized state with high levels of corruption; or in North Carolina.		https://www.quora.com/Which-state-is-better-Michigan-or-North-Carolina
jbt	harvard	dartmouth			If cost is a concern and Dartmouth is significantly cheaper than HYP then go to Dartmouth. If you don’t care about prestige, good weather, renowned professors and ambitious peers, then consider Dartmouth. Dartmouth is more differentiable from Harvard than from Yale and Princeton. Dartmouth is more focused on undergrads than Harvard if that matters to you.		https://www.quora.com/What-are-good-reasons-to-attend-Dartmouth-rather-than-a-top-tier-Ivy-such-as-Harvard-Yale-or-Princeton
jbt	potato	steak			Steak and potatoes go together like bread and butter so it’s impossible to compare the two when they are made for each other, however, if you’re dieting and want to look after your health better, then the potato would win over the potato, even though it’s classed as a starch and had very little nutritional values.		https://www.quora.com/Which-is-better-steak-or-potatoes
jbt	beer	cider			It’s entirely subjective. Cider’s great for those that want a fruitier taste, but not as fruity as a cocktail. Of course, there are several beers that have a citrus taste if that’s what you’re after. Usually, they’re wheat or sour beers. Also, beer (and even cider) has countless varieties so it’s hard to say one definitely tastes better than the other.		https://www.quora.com/Do-you-prefer-beer-or-cider-Why
jbt	phone	laptop			Battery of phones last around 5 hours or straight of using, cheap phone batteries cost around 2–3 or if the non-cheap phone is running so many apps. Laptops battery functions differently because they have bigger parts and a bigger screen to run power on and they last around 2–6 hours of usage depending on how you are using them if you’re opening apps that consumes battery or if you have battery saver on etc.		https://www.quora.com/Whats-the-electrical-usage-of-phones-vs-laptops-vs-desktops
jbt	michigan	virginia			Michigan is larger than Virginia in both land size and population.		https://www.quora.com/Is-Michigan-larger-than-Virginia
jbt	suv	minivan			SUVs typically have some sporty features off road capabilities more power to weight ratio,completely diffrent chasis usually less seating.		https://www.quora.com/What-is-the-difference-between-an-SUV-and-a-minivan
jbt	youtube	hulu			YouTube TV seems to have a better overall sports package, but Hulu TV also comes with a “free” subscription to the traditional Hulu service.		https://www.quora.com/Is-YouTube-live-TV-or-Hulu-Live-TV-a-better-option
jbt	mit	stanford			MIT is more intense. You will find out all the gears you have and discover your limitations by constantly trying to exceed them, and also discover they are different than what you thought. Stanford has a much better climate.		https://www.quora.com/What-is-it-like-to-be-a-student-at-MIT-vs-Stanford-University
jbt	cement	wood			Mostly it depends on availability of material, climate, technology, and skill set. When new Americans came from Europe they brought with them technology of wooden construction and skill required for such construction, as wooden houses are quite popular in europe.		https://www.quora.com/Why-are-all-houses-in-India-built-with-cement-while-all-houses-in-the-US-are-built-in-wood
jbt	pasta	pizza			At every pizza/pasta buffet style restaurant I’ve gone to, people eat more pizza than pasta. That must mean they like the taste of the pizza over the pasta. However, another part of the equation is that the pizza comes in all kinds of toppings and cheese, whereas the pasta offerings are usually limited to spaghetti, maybe something like sea shells, possibly lasagna, but that’s about it.		https://www.quora.com/Which-tastes-better-pasta-or-pizza
jbt	baseball	hockey			Hockey tends to have a much higher incidence of multiple stimuli that need immediate attention at one time. Baseball players tend to be able to concentrate on much more simple mechanics and stimuli at one time. 		https://www.quora.com/What-s-a-more-difficult-sport-to-play-hockey-or-baseball
jbt	google	facebook			Facebook is definitely more powerful than Google.The reason being Facebook has more options and detailed info about a customer than Google. 1.You can target customer based on demographic. 2. You can target on interest based. 3.You can create a custome audience on the basis of age, gender, interest. 4.Can create a look like audience based on the customer audience which is a powerful option on Facebook. 5.More users than Google.		https://www.quora.com/How-powerful-is-Facebook-vs-Google
jbt	tea	soda			For the sake of your health choose green tea. Just because diet drinks don’t have sugar it doesn’t mean they’re healthy, they’re disasters to your health because the artificial sweeteners are extremely toxic (they wreck your brain and heart) and the containers they’re kept in expose the substance to a lot of metal and plastic contamination.		https://www.quora.com/Should-I-order-diet-soda-or-green-tea
jbt	CNN	Fox			CNN defines itself as a News Channel. Fox defines itself as an entertainment channel that also has a news component. It is always important to check multiple news sources, however. C-Span or the Cook Political Report are unbiased.  Fox News has a Right Bias with Mixed factual reporting. Fox News is also known to publish right wing conspiracy theories, although after being sued they retracted the story.		https://www.quora.com/What-news-station-reports-more-facts-CNN-or-Fox
jbt	rat	mouse			n simple, both share several similar morphological traits. But they differ in terms of diversification and types, size say e.g., Rats can have a size as small as mice, to as big as Bandikoot (weighing to a maximum of 3 to 4 kgs) — rats can weigh from a few grams to 4/5 kgs. Mince weigh only grams and they are not as diverse as rats.		https://www.quora.com/Whats-the-difference-between-mice-and-rats
jbt	princeton	harvard			Harvard is the school of innovation. People here are focused on changing the world through the formulation and realization of ideas. Regardless of the discipline, they focus on academic research and discovery that affects the big picture and addresses global problems.  Princeton is the school of intellectual genius. It’s a very self-contained campus, and the lack of professional schools plus the strength of humanities and natural science departments indicates a focus on knowledge and understanding in its purest form.		https://www.quora.com/Which-is-better-Harvard-Princeton-or-Yale
jbt	iphone	laptop			Iphone is better than laptops in every department because mobile phone is a wireless device and with this, we can talk with anyone at any time in the world with phone and we can’t do this with laptop that’s why phone is better than laptop.		https://www.quora.com/Which-one-is-better-iPhone-X-or-a-laptop
jbt	ps3	wii			s that the PS3 is the better platform, but it completely depends on the type of games that you play and what you're used to. As for the Wii, I literally only have it to play old Nintendo games. I hate - hate - using the Wii controller. It's inaccurate, it sucks as what it's supposed to do and is just frustrating most of the time. 		https://www.quora.com/Video-Game-Consoles-Which-is-better-ps3-or-Xbox360-or-wii
